Invoice_Number__c,Invoice_Plant__c,Invoice_Customer_Code__c,Invoice_Customer_Name__c,Invoice_Sales_Org__c,Invoice_Division__c,Invoice_Sales_Group__c,Invoice_Sales_Office__c,Customer_Group__c,Invoice_District__c,Invoice_City__c,Invoice_Date__c,SO_Customer_Ref__c,SO_Customer_Ref_Date__c,Sales_Order_Number__c,Quotation_Number__c,City_Code_Diag__c
9200029246,3300,3020001669,Aria International Company,3000,30,Z10,3000,5,1000,Peshawar,2022-01-10,2125/AIC-12/21,2021-12-22,3000026096,,PWR
9200029247,3300,3020001669,Aria International Company,3000,30,Z10,3000,5,1000,Peshawar,2022-01-10,2125/AIC-12/21,2021-12-22,3300000746,,PWR
9200029253,3300,3020001669,Aria International Company,3000,30,Z10,3000,5,1000,Peshawar,2022-01-11,2130/AIC-12/21,2021-12-22,3000026095,2900014856,PWR
9200029258,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-11,0994,2022-01-10,3000026225,2900014985,KHI
9200029259,3300,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-11,18156,2021-12-22,3000026050,,RWP
9200029261,3200,3020001687,Dua Enterprises,3000,30,Z07,2000,5,2000,Rahim Yar Khan,2022-01-11,A-021/DUA/22,2022-01-05,3000026175,2900014947,MLT
9200029262,3200,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-11,18156,2021-12-22,3300000752,,RWP
9200029263,3200,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-11,18156,2021-12-22,3000026049,,RWP
9200029265,3200,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-11,0992,2022-01-07,3000026195,2900014949,KHI
9200029266,3200,3020001254,Spot Diagnostics,3000,30,Z08,2000,5,2000,Mandi Bahauddin,2022-01-11,LHR-21781,2021-12-28,3000026019,2900014855,GRW
9200029267,3200,3020000233,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-11,220,2021-12-09,3000025598,,GRW
9200029268,3200,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-11,927,2021-12-06,3000025526,2900014534,LHR
9200029269,3200,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-11,915,2021-10-27,3000024563,,LHR
9200029270,3200,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-11,0988,2022-01-07,3000026194,2900014902,KHI
9200029271,3200,3020000472,Affan Medical Corporation,3000,30,Z06,2000,5,2000,Faisalabad,2022-01-11,06012022,2022-01-06,3000026171,2900014962,FSD
9200029272,3200,3020001345,Advance Scientific,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-11,39,2021-11-30,3000025413,,GRW
9200029273,3200,3020001598,MB Traders,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-11,MB0051,2021-11-22,3000025479,,RWP
9200029274,3200,3020001669,Aria International Company,3000,30,Z10,3000,5,1000,Peshawar,2022-01-11,2130/AIC-12/21,2021-12-22,3000026095,2900014856,PWR
9200029275,3200,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-11,18157,2021-12-22,3000026052,2900014810,RWP
9200029276,3200,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-11,CDI008,2021-12-18,3000026074,2900014813,PWR
9200029277,3200,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-11,CDI008,2021-12-18,3000026037,2900014813,PWR
9200029278,3200,3020001687,Dua Enterprises,3000,30,Z07,2000,5,2000,Rahim Yar Khan,2022-01-11,A-021/DUA/22,2022-01-05,3000026175,2900014947,MLT
9200029279,3200,3020000533,Alwin Scientific,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-11,18156,2021-12-22,3000026049,,RWP
9200029283,3300,3020000506,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-11,227,2022-01-05,3000026135,,GRW
9200029286,3300,3020001556,Khurram Traders,3000,30,Z01,1000,5,3000,Karachi,2022-01-11,KT-10.01.2022-01,2022-01-10,3000026210,2900014984,KHI
9200029291,3200,3020000506,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-12,221,2021-12-20,3000026178,,GRW
9200029292,3200,3020000506,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-12,221,2021-12-20,3300000751,,GRW
9200029293,3200,3020001556,Khurram Traders,3000,30,Z01,1000,5,3000,Karachi,2022-01-12,KT-10.01.2022-01,2022-01-10,3000026213,2900014984,KHI
9200029294,3200,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-12,0994,2022-01-10,3000026226,2900014985,KHI
9200029295,3200,3020000506,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-12,227,2022-01-05,3000026135,,GRW
9200029306,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-12,CC/22/284,2022-01-12,3000026263,2900015008,KHI
9200029308,3300,3020001785,Lab Path.Com,3000,30,Z03,1000,5,3000,Sukkur,2022-01-12,LP.com - 04.01.2022 - 01,2022-01-04,3000026091,2900014916,SKR
9200029316,3300,3020001613,SS Diagnostics,3000,30,Z04,4000,5,3000,Quetta,2022-01-12,12012022,2022-01-12,3000026260,2900015009,QTA
9200029317,3200,3020001613,SS Diagnostics,3000,30,Z04,4000,5,3000,Quetta,2022-01-13,07012022,2022-01-07,3000026258,,QTA
