"Id","AG_OG__c","DGroup__c"
"a0GBK000003rmTW2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTX2AY","E-CC-PART","Instrument/Part"
"a0GBK000003rmTY2AY","E-CC-REF","Reagent"
"a0GBK000003rmTZ2AY","E-CC-REF","Reagent"
"a0GBK000003rmTa2AI","E-CC-REF","Reagent"
"a0GBK000003rmTb2AI","E-CC-REF","Reagent"
"a0GBK000003rmTc2AI","E-CC-REF","Reagent"
"a0GBK000003rmTd2AI","D-CC-REAG","Reagent"
"a0GBK000003rmTe2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmTf2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmTg2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmTh2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmTi2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmTj2AI","STA-COAG-CON","Reagent"
"a0GBK000003rmTk2AI","OR-IMA-CON","Reagent"
"a0GBK000003rmTl2AI","OR-IMA-REA","Reagent"
"a0GBK000003rmTm2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTn2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTo2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTp2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTq2AI","A-HM-REAG","Reagent"
"a0GBK000003rmTr2AI","A-HM-REAG","Reagent"
"a0GBK000003rmTs2AI","E-CC-INST","Instrument/Part"
"a0GBK000003rmTt2AI","A-HM-REAG","Reagent"
"a0GBK000003rmTu2AI","A-HM-REAG","Reagent"
"a0GBK000003rmTv2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTw2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTx2AI","ER-URIN-CON","Reagent"
"a0GBK000003rmTy2AI","E-CC-REF","Reagent"
"a0GBK000003rmTz2AI","E-CC-REF","Reagent"
"a0GBK000003rmU02AI","E-CC-REF","Reagent"
